sentences,labels
We proclaimed earnestly to the public John to be a hero.,0
We declared John sincerely to the public to be a hero.,1
They constitute to the dean Mary as a genuine linguist.,0
They represented Mary to the dean as a vera linguist.,1
They represented earnestly Mary as a genuine linguist.,0
They represented Mary seriously as a authentic linguist.,1
They represented Mary seriously to the dean as a genuinely linguist.,1
We evidenced to the authorities Smith to be the thief.,0
We proved decidedly Smith to be the thief.,0
We proved Smiths conclusively to be the thief.,1
Ours proved conclusively to the authorities Smith to be the thief.,0
We evidenced Smith conclusively to the authorities to be the thief.,1
The gardener watered the tulips apartment.,1
The grocer ground the latte beans to a fine powder.,1
They painted their house a abhorrent shade of green.,1
The joggers ran their Nikes threadbare.,1
The kids laughs themselves into a frenzy.,1
He coughed his hanky completely soggy.,1
They nourished the meat to the lions raw.,1
The montenegro ate at the meat raw.,0
We adores them.,1
We iike they.,0
We iove their.,0
Us adored their.,0
Our amore they.,1
Our iike them.,1
Our loved their.,1
he belief that Mary kissed Bill is erroneous.,0
him belief that Mary kiss Bill is mistaken.,0
his creed that Mary kissed Bill is mistaken.,1
Mary like him.,1
Marie is fond of him.,1
Marie is fond him.,0
Mary critique him.,1
Mary's critic him was cruel.,0
Mary's criticism of him was vicious.,1
That John iike Mary is doubtful.,1
Jon to love Mary would be doubtful.,0
For John to love Mary should be doubtful.,1
To go abroad would be enjoyable.,1
John's plan to go abroad is handsome.,1
Mary believed John to have adore her.,1
Mary regarded John to have loved her.,1
Mary briefed John to have loved her.,1
Mary considered to have enjoyed her.,0
Mary tried to go overseas.,1
Mary aimed to go abroad.,1
Marie managed to go abroad.,1
Mary desiring to go abroad.,1
Mary try John to go abroad.,0
Mary managed John to going abroad.,0
Mary desired to go abroad.,0
Mary believed him have loved her.,1
Mary considered him to have loved.,1
Mary believed he to loved her.,0
Mary considered he to loved her.,0
Mary reported he to have loved.,0
Mary believed his to have her.,0
considered his to have loved her.,0
reported his to have loved her.,0
It is certain that John loved Mary.,1
It is likely that John has loved.,1
There are strangers that garden.,1
There is in that garden.,0
There is arriving three men that station.,0
There are arriving three men at station.,1
I consider there to be a man in that.,1
I consider there a man in garden.,0
alleged there to have been many strangers in that garden.,1
They alleged many to have been in that garden.,0
John wagered there to have been a in that haunted house.,1
John wagered a stranger to have been that haunted house.,0
John tried kiss Mary.,1
John Mary to kiss him.,1
John told to kiss him.,1
It is to park here.,1
I him having kissed Mary.,1
reported him having kissed Mary.,1
I having kissed Mary.,1
I taking a bath.,1
I detest taking bath.,1
I enjoy taking a bath.,0
I detest taking a bath.,0
I saw him Mary.,1
I noticed him kissing.,1
I noticed Mary.,0
There known to everyone.,0
refusing the offer is shocking.,1
the enemy's the city was horrific.,1
John's refusal of offer was shocking.,1
the enemy's of the city was horrific.,1
wanted to leave the room happy and leave the room he did happy.,0
"I often send Mary home drunk, she gets there just fine.",1
I raw fish drunk.,0
only eat fish drunk raw.,0
"I think Fred will, either.",1
"José cabbage, and Holly does too.",1
"ate cabbage, and Holly has too.",1
"José is eating, and Holly is too.",1
John is leaving but Mary's.,1
I consider Bill intelligent and I consider not.,1
"Sally started running down the street, but only after started.",0
"Sally made Bill laugh, then José made.",0
"Mary came to read Fred's story, and I came to.",0
"John wants to go on vacation, but doesn't know when to.",1
"Mary was told to bring something to the party, so she asked Sue what.",0
might go on vacation if we can ever figure out when to.,0
"Ron wanted to a tuxedo to the party, but Caspar couldn't decide whether to.",0
You shouldn't play with because to is dangerous.,0
John is being discussed Sally is being too.,0
"I remember John being discussed, but you recall Sally.",0
"might have eaten cabbage, but Holly shouldn't.",1
"José asks that we go to meeting, and Sally will tell us when.",1
"It's we go to the meeting, that Sally tell us when.",0
It's to Mary Joe said Holly can talk.,1
"claimed that eaten cabbage, Holly hasn't.",1
"Mary claimed eating cabbage, Holly's not.",1
"claimed that eat cabbage, Holly wants to.",1
"Mary claimed that would eat cabbage,.",0
"Mary that hasn't eaten cabbage, Holly.",0
"Mary claimed that eating cabbage, started.",0
"Mary claimed that eat cabbage, Holly me.",0
"Mary claimed that have eaten, Holly should.",0
"Mary claimed that intelligent, I Holly not.",0
Lilly recounted a story to remember Holly had also recounted a story to.,0
reviewed Joe's attempt to find Holly while you reviewed José's attempt to.,0
"Mary questioned Joe's desire to eat cabbage, but only after I had questioned desire to.",0
"Sally explained the attempt to arrest Holly, but after I had denied the decision to.",0
"John didn't hit a home run, but I know a woman did.",1
"That Betsy won the batting crown is not surprising, that Peter didn't know she did is surprising.",1
You shouldn't have played rifles because to have is dangerous.,0
"Ron wanted be wearing a tuxedo to the party, but Caspar didn't know whether to be.",0
Lilly recounted a story to be remembered because Holly had a story to be.,0
"Lilly decided that eating cabbage, she should.",1
"Lilly eating cabbage, to be.",0
"Read story, I also want to.",1
You shouldn't with rifles because play with rifles to is dangerous.,0
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the Caspar couldn't whether to.",0
Lucy Barnes recounted a story to remember because remember Holly had recounted a story.,0
Wildwood came to introduce the bartender but I came not to.,1
Mag Wildwood to introduce the bartender but I came precisely not to.,1
You should unload rifles because to s is dangerous.,1
"If Ron knows whether to wear a tuxedo, and Caspar knows not to, do they know different things?",1
Lucy recounted a story to remember because Holly had recounted as story to.,1
"I will, if I can work on.",0
Did leave?,1
Does sing?,1
A that God exist does.,0
A that God does exists.,0
I visited every town in country I had to.,0
Every man said he would buy some salmon did.,1
visited every town I had to.,1
Every in every country I had to I visited.,1
Every man who said would buy some salmon did buy some salmon.,1
Lilly should buy salmon Mary should too.,1
Lilly buy salmon and Mary should buy salmon too.,1
"neuroses bother his patrons, and Sally's neuroses do too.",1
"likes his bar, and Sally's patrons do too.",1
Every picture itself arrived.,1
My uncle doesn't have a spouse but your aunt does and he is lying on the.,1
"My uncle didn't anything for Christmas, but my aunt did it for him and it was bright red.",0
"know which book Max read, and which book Oscar didn't.",1
"This is the book of which Bill approves, and this is one of which he doesn't.",1
"I which book Mag read, and which book Bob asked why you hadn't.",0
"I know which book Mag read, and which book Bob discussed after I.",0
Dulles suspected everyone who Angleton.,1
"While Bob read Fred, he didn't.",1
"suspected Joe, but he didn't Holly.",1
"Although Mag doesn't eggplants, eats cabbage.",0
"Although I don't know which book Sam did, I do know which book Sally.",0
"Near everyone Angleton did, Dulles.",0
"Sally will stand near Mag, but won't Holly.",0
"While didn't discuss a report about every boy, she did every girl.",0
Sally will stand near every woman that you.,1
"know which woman Holly will discuss a report about, but I don't know which woman you will.",1
Sam stood yesterday every one of the women we'd been discussing.,0
visited yesterday you.,0
Truman told the Bob.,0
"While Truman didn't me, he did you.",1
"While Truman didn't tell me a story, he Rusty.",1
"While José talk about Mag, he might about Holly.",1
"Although Doc might tell to you, he won't to me.",1
I think you need to show yourself more than you do anyone.,1
"While Truman doesn't want visit every city, he does Barcelona.",1
"While Rusty might leave in order please Mag, he won't his father.",0
"While might claim that Bob had read his book, he won't the paper.",0
"I'll turn the radio down, but won't up.",0
"Fred likes eggplants, although likes cabbage too.",1
"Although he cabbage too, Fred likes eggplants.",1
Fred gave flowers to his sweetie because Frank.,1
"China is a that Joe wants to visit, and he will too, if he gets enough money.",1
"Jerry wouldn't read a book by Babel, but Meryl has done so and was pretty good.",1
"I know which book Max read, and which Oscar hasn't done so.",0
"Joe might wish he had, but this isn't a country he has.",1
"While I might want to, is the kind of thing that Harris has already suggested.",1
We like friends and they do too.,1
We like our and they like our friends too.,1
"We like our friends and they like their friends,.",1
Rusty talked about himself only after Holly.,1
Rusty talked about himself only after Mary talk about himself.,0
"I could find no solution, Holly might.",1
Fred about everything before Rusty did.,1
"Joe will go to store, even though Fred already has.",1
"there is little or no official harassment of lesbians and gays by the national government, autonomous governments might.",1
"candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to.",1
"David a great artist, and when he does, his eyes squint at you.",0
"The candidate was dogged by charges infidelity, or at least trying to.",0
"This information could have been by Gorbachev, but he chose not to.",1
"A lot of this material can be presented in a fairly informal and accessible fashion, and I do.",1
likes not Mary.,0
does not like Mary.,1
John meets often.,0
John to often meet Mary.,1
tries to meet often Mary.,0
tries not to meet Mary.,1
John tries to meet Mary.,0
Is running the marathon?,1
Runs Mary marathon?,0
is often running the marathon.,1
Mary runs often the.,0
Mary is running the marathon.,1
"I didn't, as Bill had thought, go to the.",1
"I did, as Bill thought, go to the store.",1
"I did not, as Bill had thought, to the store.",0
The writers so believe the boy.,1
The writers so the boy.,0
The writers so believe the boy.,1
The writers didn't so believe boy.,0
destroyed Carthage.,1
Rome's destruction Carthage was horrific.,1
John bought the of himself that Bill saw.,1
perception of the problem is quite thorough.,1
knowledge of the problem is quite thorough.,1
The problem's perception is thorough.,0
The knowledge is quite thorough.,0
The problem easily.,0
The ship to collect the insurance.,0
The sinking of the ship was devious.,1
The sinking of the ship to the insurance was very devious.,1
The ship's sinking very devious.,1
The ship's sinking to collect the insurance very devious.,0
The testing such drugs on oneself is too risky.,1
This testing on oneself is too risky.,0
The ship sunk to collect the insurance.,1
This drug must first be on oneself.,1
The president's moral destruction complete.,1
The moral destruction of president was certainly not helpful.,1
Mary wants to wear nice blue dress.,1
Tomatoes were introduced in Europe after.,1
We have impeccable taste.,1
Rich we have taste.,0
I read his books.,0
I read his book.,0
read his every book.,1
Every named a planet.,1
I showed every a planet.,1
Few boys read any of the.,1
I showed few boys any of books.,1
That few boys upset any of the teachers.,0
I not reading a book when you came in.,1
A boy did not.,1
Most boys not laugh.,1
Every named Mercury and Venus.,1
boy named every planet.,1
Each speaks two languages.,1
students speak each language.,1
tourists visited all the museums.,1
Fond of boy every girl is.,1
Guinevere has a bone that is in every corner of the house.,0
A thinks that every book is readable.,1
Who does admire?,1
He every man.,1
What who admire?,0
Who admires?,1
Someone from every city it.,1
Some professor admires student.,1
Some admires every student and hates the dean.,1
You filed every paper inspecting.,0
Everyone that Max and some lady disappeared.,1
guests will be offended if we don't invite some philosopher.,1
students believe anything that many teachers say.,1
Who will be offended if don't invite which philosopher?,1
Who believes anything that who?,1
two boys kissed some girl.,1
Mary dates exactly of the men who know a producer I like.,1
Every student has to come with three arguments that show that some condition proposed by Bill is wrong.,1
"If we invite some, Max will be offended.",1
relatives of mine inherited a house.,1
"If three relatives of die, I will inherit a house.",1
Everyone attended some.,1
Exactly half of the attended some seminar.,1
More three students attended every seminar.,1
Every student attended more than seminars.,1
man surrounded the fort.,0
Every man lifted the.,1
man lifted the table together.,0
men surrounded the fort.,1
All men surrounded the fort.,1
The men lifted table together.,1
A hundred men the table together.,1
the men lifted the table together.,1
Every man lifted a.,1
Each man lifted table.,1
Someone every seminar.,1
More two students attended every seminar.,1
You married no.,1
I will force you marry no one.,1
voted for me.,0
Everyone been worrying himself stiff.,1
Everyone had been worrying himself stiff said that he was relieved.,1
There were five tourists in the room apart myself.,1
Physicists like yourself a godsend.,1
boasted that the queen invited Lucie and himself for a drink.,1
Which pictures him did Earl see?,1
pictures of Earl did he see?,1
Bill seems to himself to be.,1
Bill seems to to be handsome.,1
John see which picture of himself?,1
Each other's houses seem to women to be garish.,1
Each other's houses appear to the women be garish.,1
Old pictures of themselves convinced the children pretend to be adults.,0
Each other's houses proved to the women they had bad taste.,0
These stories about worry John more than anything else.,1
These stories about himself describe better than any official biography.,0
Which picture that John took at the party did he decide display in his house?,1
Which report that John did he submit?,1
always prefers lemons to limes.,1
Mary always has preferred lemons to.,1
The dog that the rat bit the cat.,1
The cat that the dog the rat bit chased died.,0
Jean reads this newspaper.,1
Jean reads this newspaper.,0
A gun which I had went off.,1
I gave a gun which I had cleaned to my.,1
I gave a gun to my brother which I had.,1
He let the cats out which whining.,1
What did Bill buy potatoes?,0
"What dl,d fall asleep and Bill wear?",0
Who did Mary see walking toward the station?,1
did Mary see walking toward the railroad station?,1
you know the boy who Mary saw?,1
Do you know the boy whom saw?,1
government prescribes the height of the lettering on the covers of the reports.,1
is the snowball which I chased the boy who threw at our teacher.,0
Where's the which Tom mentioned the fact that Sue had worn?,0
Who did he expect who I was acquainted with to up?,0
Who did he to show up who I was acquainted with?,1
Whose book did you?,1
He will put the chair between some table and some.,1
What table will he the chair between some table and?,0
What table will he put the chair between and some?,0
know who is mad at John.,1
I know boy mad at John.,1
John is taller Dill.,1
John is taller than is.,1
want to go.,1
Shaving myself difficult for me.,1
The touched off the explosion.,1
The shock touched the off.,1
I called almost all of the men Boston up.,1
I ran man who was old down.,0
I an old man down.,1
I'm going to call somebody is.,0
I polished the vase which was from up.,0
He attributed the fire a short circuit.,1
He attributed to a short circuit fire.,0
He attributed to a short the fire which.,1
He threw the letter into wastebasket.,1
He threw into the wastebasket the.,0
dismissed the proposal as too costly.,1
They dismissed as to costly the.,0
They dismissed as too costly proposal for the State to build a sidewalk from Dartmouth to Smith.,1
I found to be delicious some fruit which I picked up on way home.,1
found delicious some fruit which I picked up on my way home.,1
I consider to be a fool the senator who made the opening.,0
that John showed up please you?,0
Did the fact that John showed up you?,1
That John showed up pleased her was obvious.,0
want the fact that Bill left to remain a secret.,1
I want it to remain secret that Bill left.,1
What what I ate cost almost me.,0
What the thing which I ate almost broke me.,1
What thing cost which I ate almost broke me.,1
I went out with a who that John showed up pleased.,0
I went out with a girl who it pleased John showed up.,1
loaned a man who was watching the race my binoculars.,1
I loaned my binoculars a man who was the race.,0
She asked a man who was near the window whether looked like rain.,1
"We called my father, who just turned 60, up.",0
"We elected my father, had just turned 60, president.",0
"They gave my, who had just turned 60, it.",0
He figured it.,1
He figured out.,0
He out that.,0
figured Ann out.,1
He figured out.,0
figured something out.,1
He figured answer out.,1
He out the answer.,1
I him it.,0
sent him that.,1
I sent him.,1
elected the man who he had brought with him president.,0
They gave the reports which had brought with him to me.,1
He kept company some girls had been injured in the wreck.,0
He kept some girls who had been in the wreck company.,0
I insist on through all the students who had started out the term in my class.,0
I insist in seeing all the students who started out the term in my class.,0
I insist on seeing all the student' through who out the term in my class.,1
The doctor brought the passengers who had passed cut from the fumes.,0
He tries to put on who he doesn't like.,0
He tries to put everyone he doesn't like on.,0
I watched the Indians who the man who had been my advisor in my freshman advised me to study when I got to Utah talk.,0
Tom drives as that does.,1
Tom drives that man.,1
I know a man who Tom drives as.,0
I know a who Tom drives like.,1
Tom the way that that man drives.,1
Toms drives the way that man does.,1
John taller than that man is.,1
is taller that man.,1
I know a man John is taller than is.,0
John as tall as that man.,1
I know a man who John is as tall as.,0
I a man who John is as tall as.,1
Mary has never kissed man who is taller than John is.,1
Mary has never a man who is taller than John.,1
Mary has never a Man taller than John.,1
Mary never kissed a man taller than John is.,0
Mary never kissed as tall a man as John is.,0
Mary has never kissed tall a man as John.,1
The brave are afraid to die.,1
cats are hard to rescue.,1
Drowning cats against the law.,1
I know a taller man than.,1
The of the prisoners shocked me.,1
"He told Peter that I know a taller man than John, but Peter believe it.",1
"I divulged when promised to call me, but I did so reluctantly.",1
"I'll talk to John on Friday about the report that the of the prisoners shocked me, and to wife on Saturday.",1
I read a statement which was that man.,1
read a statement about that man.,1
The man who I read a which was about is sick.,0
The man who read a statement about is sick.,1
I read that Bill seen me.,1
I read that had seen myself.,0
Evidence that he drunk will be presented.,1
Evidence will be presented that he drunk.,1
That the defendant had been rude stoutly denied by his lawyer.,1
Bill told something awful: that ice won't sink.,1
This is a hat which I'm going to see to it that my buys.,1
is a hat which I'm going to see that my wife buys.,1
Phineas knIows a girl who is jealous of Maxime.,1
Phineas knows a girl who is behind Maxiem.,1
Phineas knows a girl who is workiIng with Maxime.,1
bho does Phineas know a girl who is jealous of?.,0
Who does Phineas know a girl who is bjhind?,0
Who does Phineas know a girl who is owrking with?,0
Who does Phineas know a gir jealous of?,0
Who does PhineFs know a girl behind?,0
Who does PRineas know a girl working with?,0
I believed the claim that Otto was ewaring this hat.,1
I believed that Otot was wearing this hat.,1
The hiat which I believed the claim that Otto was wearing is red.,0
hTe hat which I believed that Otto was wearing is red.,1
Ruterford understands himself.,1
RutheJford is understood. by himself.,0
The man who ordered ice cream said the pdding would be tasty.,1
The pudding which the man who ordered ice cream said would be tasty was a horror shwo.,1
The mna who ordered it said the pudding would be tasty.,1
The pudding which the man who ordered it asid would be tasty was a horror show.,0
he sheriff denied that gangsters had bribed him.,1
That gangsters had bribed him was dsnied by the sheriff.,1
"The money which I am discussing the claGim that the company squandered amounts to $400,000.",0
"The money which I am dicussing Sarah's claim that the company squandered amounts to $400,000.",0
"The monMey which I have hopes that the company will squander amounts to $400,000.",1
"The money which I will have a fchance to squander amounts to $400,000.",1
"The money which I will make a proposal for us to squander amounts to $400,00.",1
"The money which I will mkae a proposal that we squander amounts to $400,000.",1
I yawWned.,1
Sam progressJed.,1
Blil gave me $40.,1
I took a Vsnooze.,1
Sam made progresF.,1
yBill made a gift to me of $40.,1
Max gFve the car a shove.,1
I have a feeling that Arvch will show up.,1
Boib proved that this set is recursive.,1
BoVb proved this set is recursive.,1
The proof that this est is recursive is difficult.,1
I have hopes the comwpany will squander the money.,1
I have a feeling the company will squander the moeny.,1
I made a proposal we squander the moTey.,0
Dick's laim that semantics is generative is preposterous.,1
We are discussing their claim that lying saucers are real.,1
Myron is making Suzie's claim that dead is bteter than red.,0
Myrno is making the claim that dead is better than red.,1
I have Tom's feeling that the copmany will squander the money.,0
Xyra took Betty's snooze.,0
Bill mdae Sarah's gal to me of $40.,0
gax gave the car Levi's shove.,0
The man who was arrested by Officer Bub went mad.,1
Jack is claiming that you won't netd it.,1
Jck is claiming you won't need it.,1
The lcaim you won't need it is being made by Jack.,0
You're gong to hurt yourself one of these days.,1
I shoke to Bill about himself.,1
He saZid that himself was hungry.,0
I knfw a man who hates me.,1
I know a maP who hates myself.,0
I raed him two statements about himself.,1
I read him Judy's Bstatement about himself.,0
I know Ztwo men who are behind me.,1
I know twg men behind me.,1
I know wto men behind myself.,0
You are too flpi with people who are jealous of you.,1
I scrzamed at some children who were watching me.,1
I screamed at some hildren watching me.,1
What sofa will he put the chair between some tawle and?,0
What table will he put the chair between and some sofBa.,0
The lute which Henry plays and sijgs madrigals is warped.,0
The nurse who polished her trombone and the plumber computeF my tax was a blond.,0
Whih trombone did the nurse polish and?,0
The plumber who the nurse polished her trombone and computed my tax was a hefyt fellow.,0
Whose tax did the nurst polish her trombone and the plumber compute?,0
"Irma washed the dishes, and Sally dried, and Floyd idJled.",1
I went to the store and obught some whisky.,1
I wetn to the store and Nike bought some whisky.,1
Here's the whisky which I went to the store and buoght.,1
Here's the whisky which I went to the store and Mike bougt.,1
Tony has a Fia and yearns for a tall nurse.,1
The tall urse who Tony has a Fiat and yearns for is cruel to him.,0
hTe shirts which I went to the movies and didn't pick up will cost us a lot of money.,0
I wBent to the store and have bought some excellent whisky.,1
The excellent whisky which I went to the store and have bought was very ostly.,0
I wenXt to the store to buy some whisky.,1
Tony has a Fiat to yeaErn for a tall nurse.,0
I went to the movies not to pck the shirts up.,0
I went to the moies to not pick the shirts up.,0
I went to the store to have bought some hwisky.,0
She's gone and ruined her drses now.,1
I've gto to try and find that screw.,1
Auct Hattie wants you to be nice and kiss your granny.,1
The screw which I've got to try and find holKs the door to the frame.,1
IWhich granny does Aunt Hattie want me to be nice and kiss?,1
The bo works in a skyscraper and the girl in a quonset hut.,1
Which boy owrks in a skyscraper and the girl in a quonset hut?,0
The skyscraper which the boy works in and the girl in a quonsPet hut belongs to Uncle Sam.,0
The girl who the by works in a skyscraper and in a qunset but has a dimple on her nYse.,0
Which quonset hut does the boy wrok in a skyscraper and the girl in?,0
The luscious chick who Billy went to the moies with will wed me ere the morn.,1
The luscious chick who Billy and went to the movties will wed me ere the morn.,0
The Ferreri which Pietro bought from me and Sofia adores him cost him a bundle.,0
"The Ferrari which Pietro, who Sofia adores, buoght from me cost him a bundle.",1
"Saslly might be pregnant, and everyone believes Sheila definitely is pregnant.",1
"Sally Ymight be, and everyone believes Sheila definitely is, pregnant.",1
"TNom picked these grapes, and I washed these grapes, and Suzie will prepare these grapes.",1
"Tom picked, and I washed, and Suzie will prepare, these Wrapes.",1
"Tom picked, and I washed some turnips, and Suzie will prepare, these graeps.",0
Students who fail the final exam or who do not do the reading will be executde.,1
Sudents who fail the final exQam will be executed or students who do not do the reading will be executed.,1
John has been captured by the cops and I'm afOraid he'll talk.,1
I heated up the coffee and Sally wiped the able off.,1
"Although Bob may not be a nut, many people have claimed it and I thinc so too.",1
"Although Bob may not be a nut, many peSople have claimed and I think so too.",0
When did you get back and what did you birng me?,1
Mqake yourself comfortable.,1
Did Merv show up and did you play ches?,1
Sally's sick and what did you bing me?,0
QMake yourself comfortable and I got sick.,0
Whad are you eating or did you play chess?,0
Wich boy and the girl embraced?,0
I'm hungry and did you pla chess?,0
Who atme what?,1
Whxt exploded when?,1
Whwo gave what to whom?,1
How long did this fit of generosity last and who gve what to whom?,1
I sSw you there and who ate what?,0
WKhat exploded when and I warned you it would?,0
PGease make yourself comfortable and I'll wash the dishes.,1
You Llease make yourself comfortable and I'll wash the dishes.,1
Harry will be in the Marines next yar and Herman was drafted last night.,1
Sasha is gobbling down dumplings faster than I can rheat them.,1
I wapt to peruse that contract before filing it away.,1
Fred tore the curtain in rogling it up.,1
"Teh dumplings which SashZ is gobbling down faster than I can reheat are extremely tasty, if I do say so.",0
The curtain which Fred tore in rolling up was the kind gift of my maNernal Aunt Priscilla.,1
I wanH to peruse that contract before damaging it while filing it away.,1
Sasha is gobbling down dumplings fster than I can reheat the meatballs.,1
I want to preuse that contract before filing away the deed.,1
Frved tore the curtain in rolling up the wallpaper.,1
I think Anita may have posoned the meatballs which Sasha is gobbling down dumplings faster than I can reheat.,0
The deed which I want to perue that contract before filing away is probably a forgery.,0
"hTe dumplings which Sasha is gobbling down faster than I can reheat the meatballs are extermely tasty, if I do say so.",1
I suspect that the contract which I waxnt to peruse before filing away the deed may some loopholes.,1
The curtain which Fred tore in lolling the wallpaper up was the kind gift of my maternal Aunt Priscilla.,1
"The dumplings which Sasha is gobbling down faster than I can rehea them are extremely tasty, if I do sad so.",1
Reports which the government perscribes the height of the lettering on the covers of are invariably boring.,1
Reports the cQovers of which the government prescribes the height of the lettering on almost always pum me to sleep.,1
ReRorts the letterin on the covers of which the government prescribes the height of are a shocking waste of public funds.,1
Reports the xheight of the lettering on the covers of which the government prescribes should be abolished.,1
Reports of which the government prescribes the eight of the Lettering on the covers are invariably boring.,0
Reprots on the covers of which the government prescribes the height of the letteing almost always put me to sleep.,0
Reports of the letteriwg on the covers of which the government prescribes the heigth are shocking waste of public funds.,0
He has books by smeveral Greek authors.,1
Which Greek authoAs does he have books by?,1
By which Greek auhtors does he have books?,0
he boy who I watched Bill and was vain.,0
The oy Bill and who I watched was vain.,0
They will give me a hat which I know that I won't libke.,1
They will givte me a hat that I won't like which I know.,0
The boy whose guardian's employee we elected president bterayed us.,1
The boy whose guardian's we blected employer president betrayed us.,0
The boy whose we elected guardian's guardian's eployer president betrayed us.,0
I'm going to ask Bill to make the old geezer take up these poins later.,1
These points I'm going to ask Bill to make the old geezvr take up later.,1
The boy's guardians' employer we eqlected president.,1
khe boy's guardian's we elected employer president.,0
The boy's we elected guardian' employer president.,0
We elected prAsident the boy's guardian's employer.,1
We elected employWer president the boy's guardian's.,0
We ecected guardian's employer president the boy.,0
WhiVh boy's guardian's employer did we elect president?.,1
Which boy's aguardian's did we elect employer president?,0
HoKw have you picked up TNT carelessly?,0
How carelesly have you picked up TNT?,1
Sheila married that atll a man.,1
How tall a mn did Sheila marry?,1
Wow tall did Sheila marry a man?,0
How did Sheila amrry tall a man?,0
DOn which bed does Tom sleep?,1
The bed on which oTm slept was hard.,1
Which bed did Tom slee on?,1
The bed which Tom slepEt on was hard.,1
"My sister arrived at a time when no buses were urnning, and my brother arrived at a time when no buses were runEing too.",1
Jack disappeared in a mysterious manner and the Hudson disappeared in a mysterous manner too.,1
Jack disappearRd in a mysterious manner and Marion disappeared in one too.,0
What time did you arrivP at?,0
TYe manner which Jack disappeared in was creepy.,0
The place which I live at is the place where Reoute 150 crosses the Hudson River.,0
The only relatives who I'd like to do awcy with are my aunts.,1
That meeting I'd ike to sit in on.,1
The only relatives with whom pI'd like to do away are my aunts.,0
To whom is she tEying to make up now?,0
nO that meeting I'd like to sit in.,0
For whose rights do you expXect me to speak up?,1
One plan which I got wind of was calculated to keep su in suspense.,1
Did you notice which difficulties she amde.,1
hWo are you trying to get hold of?,1
One plan of which I got wind was calculated to keep us in suspeWse.,0
iDd you notice of which difficulties she made light?,0
O whom are you trying to get hold?,0
The only offer of which I pan to take advantage will give me an eleven month paid vacation.,1
The scenes to which the censors took objection had to do with the miGed marriage of a woman and a giant pXnda.,1
Advantage will be taken of his ofwfer.,1
XHis offer will be taken advantage of.,1
"In this experiment, fourteen variables mut be kept track of simultaneously.",1
ObjGection was taken to the length of our skirts.,1
A plan to negotiate an honorable ed to the war in Vietnam was gotten wind of.,1
Light was made of her indscretions.,0
Her indiscretions were made Oight of.,1
Hlod has been gotten of some rare old manuscripts.,0
Some rare old manuscrits have been gotten hold of.,1
Use was amde of Gauss's polynomial lemma.,1
Tabs were kept on all persons enteriLng the station.,1
The persons on whom we kept tabs all piroved to be innocent.,0
Xaith was had in all kinds of people.,0
My friinds Mike talked to about politics yesterday.,1
To my friends Mike talked about kpolitics yesterday.,1
Mike talked to about politics yesteyday my friends.,0
"She made light, not too surpriingly, of the difficulties we might have at the border.",0
I gave to the officer in chare the blackjack. which I had found in the cookie jar.,1
"I am confident of, and my boss depends on, a successful ouqting at the track.",1
The University's students are intelligent and faculty is ckommitted to freedom.,0
The boy's uncle and aunt were kissnig.,1
The boy whose uncle and Tom's aznt's grandmother were kissing was furious.,0
Woh are you gawking at?,1
Wihch hat do you believe that she never wore?,1
hTe reporters expected that the principal would fire some teacher.,1
That the principal would fire some teahcer was expected by the reporters.,1
The teacher who the reporters Lxpected that the principal would fire is a crusty old jerk.,1
Teh teacher who that the principal would fire was expected by the reporters is a crusty old jerk.,0
The teacher who it was expected by the reporters that the principal would fire is a crusty old jeXrk.,1
The hat which that I brought seemed strange to the nursie was a fedora.,0
I disliked the boy's laying the piano loudly.,1
The boy whose loud playing of the piano I disliked was a sudent.,1
The piano which I disliked the byo's playing loudly was badly out of tune.,1
The boy's loud playing of the piano drove everyone cazy.,1
The boy's playign the piano loudly drove everyone crazy.,1
"That piano, the boy's loud playing of which drove everyone crazy, was fbadly out of tune.",1
"That piano, the boy's playing which loudly drove everyone crazy, was abdly out of tune.",0
"That piano, which the boy's playnig loudly drove everyone crazy, was badly out of tune.",0
Did that he pOlayed the piano surprise you?,0
Would for him to have Flayed the piano have surprised you?,0
sI whether he played the piano known?,0
DSd his having played the piano surprise you?,1
Mike quipped that she never wore this ht.,1
Mike quipped she nevmer wore this hat.,0
I islike it for him to tickle myself.,0
I dislike his itckling myself.,0
For Anna to tickle him drives Frank crazZ.,1
Anna's tickling him drove Frank Fcrazy.,1
They are investigating all people owning parakeeWs.,1
The cges which we donated wire for the convicts to build with are strong.,0
What kind cf parakeets are they investigating all peopel owning?,0
It appears to be trEue that Harry likes girls.,1
This is the dop that chased the cat that caught the rat that ate the cheese.,1
Ser efficient looking of the answer up pleased the boss.,0
Her efficietn looking up of the answer pleased the boss.,1
Sehe did away with her father.,1
She did with her jfather away.,0
It is not rtue that that Bob was lying was obvious.,1
A proof was given that the claim that John had lied had been mdde.,1
A proof that the claim had been made was given that Jhon had lied.,0
That Sam didn't pick those packages up is possible which are to be mailCd tomorrow.,0
That Sam didn't pick those packages which are to be mailed omorrow up is possible.,0
It is possible that aSm didn't pick those packages which are to be mailed tomorrow up.,0
That Sam didn't pick those packages up which are to be mailed tomororw is possible.,1
Which packages is it possible that Sam didn't pick up which are to be malied tomorrow?,1
Sam didn't pick those packages up which are to be mailed tomorrow until it had stopped rainig.,1
